conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1837448571857392061,Sat Sep 21 11:07:32 +0000 2024,0,Tambah Kekuatan Timnas Indonesia Putri PSSI Berencana Naturalisasi Nikita Tromp https://t.co/eJDxUSAn9s,1837448571857392061,,,in,Indonesia,0,0,0,https://x.com/bolacomID/status/1837448571857392061,1486284086,bolacomID
1837445223841939536,Sat Sep 21 10:54:14 +0000 2024,0,Kementerian Hukum dan HAM (Kemenkumham) berkomitmen penuh mendukung kemajuan olahraga di Indonesia khususnya sepak bola. Salah satu bentuk dukungan konkret adalah proses naturalisasi terhadap sejumlah pemain asing yang memiliki darah Indonesia. https://t.co/6W1VZcT8cw,1837445223841939536,,,in,Pontianak Kalimantan Barat,0,0,0,https://x.com/kumham_kalbar/status/1837445223841939536,2753896616,kumham_kalbar
1837421389328142780,Sat Sep 21 09:19:31 +0000 2024,1,Federasi sepak bola Vietnam (VFF) resmi mengumumkan penyerang naturalisasi baru mereka ia adalah Rafaelson Bezerra Fernandes pemain asal Brasil berusia 27 tahun. #timnassenior #bobotoh #baliunited #bola #kitagaruda #football #ligaindonesianews1888 #olotogel https://t.co/6oZWvXtoMH,1837421389328142780,https://pbs.twimg.com/media/GX_U70Nb0AUa-TX.jpg,,in,,0,0,0,https://x.com/news18889/status/1837421389328142780,1822558533059223552,news18889
1837299356275462491,Sat Sep 21 09:19:08 +0000 2024,1,@gilabola_ina Itulah sepak bola Indonesia yg di inginkan para penyinyir Timnas yg skrg knpa pilih naturalisasi yg ada campuran darah Indonesia karna video ini salah 1 alasannya dr ribuan video lainnya,1837421294541066314,,gilabola_ina,in,"DKI Jakarta, Indonesia",0,2,0,https://x.com/kurnia_N_syah/status/1837421294541066314,239667488,kurnia_N_syah
1837386534527320293,Sat Sep 21 07:01:01 +0000 2024,1,PSSI tidak mau asal melakukan naturalisasi untuk memperkuat timnas Indonesia. Pemilihan pemain sangat ketat! 🇮🇩 Selengkapnya https://t.co/cX7Sd39Gfn https://t.co/cX7Sd39Gfn,1837386534527320293,,,in,Indonesia,0,0,0,https://x.com/BolaSportcom/status/1837386534527320293,78239324,BolaSportcom
1837386473454100904,Sat Sep 21 07:00:46 +0000 2024,0,Isu naturalisasi pemain untuk memperkuat timnas Indonesia terus menjadi perbincangan. Lalu bagaimana kelanjutan program dari PSSI tersebut? Lanjut terus! ️ Selengkapnya https://t.co/ZgiuWfySuM https://t.co/ZgiuWfySuM,1837386473454100904,,,in,Indonesia,0,0,0,https://x.com/BolaSportcom/status/1837386473454100904,78239324,BolaSportcom
1837386394710561089,Sat Sep 21 07:00:28 +0000 2024,0,Proses naturalisasi Mees Hilgers dan Eliano Reijnders akan dipercepat supaya segera membela timnas Indonesia. Info A1 dari Menkumham Supratman Andi Agtas! 🇮🇩 Selengkapnya https://t.co/XDaPRXM6q4 https://t.co/XDaPRXM6q4,1837386394710561089,,,in,Indonesia,0,0,0,https://x.com/BolaSportcom/status/1837386394710561089,78239324,BolaSportcom
1837338549248741644,Sat Sep 21 03:50:20 +0000 2024,0,Timnas Indonesia Dapat Pesaing Hebat Vietnam Resmi Punya Naturalisasi Brasil https://t.co/gp2OsxlGdf,1837338549248741644,,,in,Indonesia,0,0,0,https://x.com/BolaSportcom/status/1837338549248741644,78239324,BolaSportcom
1837295684447252992,Sat Sep 21 01:00:01 +0000 2024,2,Erick Thohir meyebut proses naturalisasi pemain untuk memperkuat timnas Indonesia merupakan program jangka panjang. Siapa selanjutnya? 🇮🇩 Selengkapnya https://t.co/n3cS7KSrsF https://t.co/n3cS7KSrsF,1837295684447252992,,,in,Indonesia,0,1,0,https://x.com/BolaSportcom/status/1837295684447252992,78239324,BolaSportcom
1833386362407686640,Tue Sep 10 10:36:13 +0000 2024,0,@aldibawazier_ Sepakat dan saya sendiri udah nggak terlalu peduli dgn opini Naturalisasi vs Lokal ini. Di mata saya mereka semua ini pemain Indonesia. Bisa nonton Timnas main di ajang yg lebih tinggi aja udah jadi kepuasan tersendiri. ,1833454425584668766,,aldibawazier_,in,Indonesia,0,0,0,https://x.com/Mansova/status/1833454425584668766,1422514700613341185,Mansova
1833450598232166660,Tue Sep 10 10:21:01 +0000 2024,0,Sbg bangsa Indonesia yg cinta NKRI cinta nasionalisme tentu bangga jika timnas sepakbola nya juara.Aplg kalo pemainnya inlander DN.Lha kalo pemainnya org Belanda apkh kita hrs jingkrak2 bangga? Naturalisasi impor pemain cuma akal2an.Hidup NKRI. @PSSI,1833450598232166660,,,in,"Bogor,Jabar",0,0,0,https://x.com/HendZiddane/status/1833450598232166660,1639157189792378882,HendZiddane
1833436278970585300,Tue Sep 10 10:09:13 +0000 2024,3,@MediocreUnited @panjiraden logikanya gini aja bang kok ada sih org yg gamau tim negaranya bagus koar-koar naturalisasi tp dulu mereka naturalisasi yg dr liga Indonesia gada yg bacot kan? karena dulu pemain liga yg label timnas bisa dpt kontrak yg gila wajar ada yg nitip ke timnas bahkan dr lvl junior.,1833447631579975730,,MediocreUnited,in,Jakarta,0,1,0,https://x.com/Rumputtliarr_/status/1833447631579975730,3911468352,Rumputtliarr_
1833386362407686640,Tue Sep 10 10:07:03 +0000 2024,0,@Kurosakideku @aldibawazier_ Klo gue gak anti naturalisasi cuma mikir kan adanya liga indonesia untu mencari yang terbaik buat ke timnas nah klo tempatnya mkin dikit berarti mkin susah ke timnas Ada pendapat yg bilang bersaing tpi gmana mau bersaing sama oemain2 abroad yg jelas kualitas beda pasti kalah,1833447085842305453,,_rtaufani,in,Bandar Lampung,0,5,0,https://x.com/ramadhika99/status/1833447085842305453,228943124,ramadhika99
1833386362407686640,Tue Sep 10 10:03:07 +0000 2024,0,@aldibawazier_ Klo gue gak anti naturalisasi cuma mikir kan adanya liga indonesia untu mencari yang terbaik buat ke timnas nah klo tempatnya mkin dikit berarti mkin susah ke timnas Ada pendapat yg bilang bersaing tpi gmana mau bersaing sama oemain2 abroad yg jelas kualitas beda pasti kalah,1833446094241423550,,aldibawazier_,in,Bandar Lampung,0,0,0,https://x.com/ramadhika99/status/1833446094241423550,228943124,ramadhika99
1833386362407686640,Tue Sep 10 09:45:24 +0000 2024,0,@Kurosakideku @aldibawazier_ Bakat brazil aja sekarang bisa cepet redup kalau gak disiplin apalagi cuma warga indonesia yg bila dibandingkan bakatnya sama orang berazil ya jauh lah pemain kita itu teriak2 anti naturalisasi karena males bersaing bukan karena peduli dengan timnas.,1833441637261054378,,ImamAgusfaisl,in,,0,1,0,https://x.com/ImamAgusfaisl/status/1833441637261054378,1660441157065912321,ImamAgusfaisl
1833441179901546507,Tue Sep 10 09:43:35 +0000 2024,0,orang-orang yang pada protes soal tim nasional sepakbola yang isinya pemain naturalisasi ini yang dimau apa sebenernya? at least masih punya darah Indonesia ya layak dong. apa ga pada kaget itu kalo timnas basket isinya naturalisasi tanpa indo-blood?.,1833441179901546507,,,in,Vormir,0,0,0,https://x.com/ssamjunator/status/1833441179901546507,2238932863,ssamjunator
1833440148543180878,Tue Sep 10 09:39:29 +0000 2024,0,ya memang harusnya begitu toh mau pemainnya keturunan samoa pun tetap harus dukung. timnas basket juga gitu kok mulai pake naturalisasi dari Amerika. Malahan Marques Bolden Anthony Beane Jr Dame Diagne Brandon Jawato ga ada darah Indonesia sama sekali.,1833440148543180878,,,in,Vormir,0,1,0,https://x.com/ssamjunator/status/1833440148543180878,2238932863,ssamjunator
1833386362407686640,Tue Sep 10 09:38:37 +0000 2024,0,@aldibawazier_ Apa salahnya naturalisasi mereka punya darah indonesia. Balotelli punya darah Italy masuk ke timnas karena apa? karena nggak ada yang lebih baik dari Balotelli waktu itu. Sama kek pemain naturalisasi kita pemain asli emang ada yang sebagus mereka? Minimal selevel Thailand,1833439931118850203,,aldibawazier_,in,Indopendent  🇬🇧,0,0,0,https://x.com/putherainka/status/1833439931118850203,1049148303189798912,putherainka
